YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2016,12,31,23,50,999  1.9  3.7,3.26,10.81,9.31,307 1012.7,11.2,12.2,999,99,99
2017,1,1,0,50,999  0.1  1.2,3.25,10.81,9.24,309 1013.5,10.9,12.2,999,99,99
2017,1,1,1,50,999  4.5  5.9,3.04,12.12,9.39,314 1014.2,11.1,12.1,999,99,99
2017,1,1,2,50,999  5.8  7.5,2.95,12.9,9.22,308 1014.4,11.3,12.1,999,99,99
2017,1,1,3,50,999  8.7 12.2,3.12,12.9,9.37,309 1014.8,11.4,12,999,99,99
2017,1,1,4,50,999  5.0  5.8,2.97,12.12,8.68,314 1014.7,11.4,12,999,99,99
2017,1,1,5,50,999  6.7  9.1,2.8,12.9,8.68,308 1015.0,11.4,12,999,99,99
2017,1,1,6,50,999  6.4  8.9,2.78,12.9,8.42,305 1015.4,11.5,12,999,99,99
2017,1,1,7,50,999  5.8  7.6,2.65,10.81,8,306 1015.5,11.7,12,999,99,99
2017,1,1,8,50,999  6.7  9.0,2.81,11.43,8.28,309 1015.0,11.6,12,999,99,99
2017,1,1,9,50,999  8.1 10.6,2.55,10.81,7.82,303 1015.3,11.4,12.1,999,99,99
2017,1,1,10,50,999  9.1 12.1,2.63,11.43,7.68,312 1015.4,11.3,12.1,999,99,99
2017,1,1,11,50,999  8.8 11.8,2.77,11.43,7.61,312 1015.1,11.2,12.1,999,99,99
2017,1,1,12,50,999  6.9  9.3,2.66,12.12,7.07,307 1014.9,11,12.1,999,99,99
2017,1,1,13,50,999  8.5 10.8,2.85,10.81,7.33,306 1014.5,11,12.1,999,99,99
2017,1,1,14,50,999  6.4  8.7,3.02,10,7.23,306 1014.9,10.9,12.1,999,99,99
2017,1,1,15,50,999  8.9 11.7,2.93,12.9,7.14,304 1014.8,10.9,12.1,999,99,99
2017,1,1,16,50,999  8.6 11.7,3.06,10,7.18,314 1014.8,10.9,12.1,999,99,99
2017,1,1,17,50,999  9.6 12.8,3.28,10,7.26,311 1015.0,10.9,12.1,999,99,99
2017,1,1,18,50,999  9.9 12.6,2.95,10,7.02,322 1015.5,11.1,12.1,999,99,99
2017,1,1,19,50,999 11.2 13.3,3.57,10,7.5,320 1015.3,10.9,12.1,999,99,99
2017,1,1,20,50,999 11.3 13.3,3.35,10.81,7.4,316 1014.5,10.7,12.2,999,99,99
2017,1,1,21,50,999 10.4 12.8,3.31,10,7.17,316 1014.3,10.8,12.3,999,99,99
2017,1,1,22,50,999  9.9 12.9,3.27,8.33,7.09,324 1014.1,10.8,12.3,999,99,99
2017,1,1,23,50,999  9.3 12.3,3.42,9.09,7.16,319 1014.3,11.1,12.2,999,99,99
2017,1,2,0,50,999  7.4 10.5,3.3,10,7.24,316 1014.4,10.7,12.2,999,99,99
2017,1,2,1,50,999  5.1  6.6,3.46,10,7.64,319 1014.4,10.9,12.2,999,99,99
2017,1,2,2,50,999  4.1  5.5,3.05,10,7.52,313 1014.7,10.9,12.2,999,99,99
2017,1,2,3,50,999  4.3  5.7,2.88,9.09,7.6,317 1015.6,10.8,12.2,999,99,99
2017,1,2,4,50,999  7.0  9.6,2.55,10,7.27,299 1016.0,11.3,12.2,999,99,99
2017,1,2,5,50,999  4.7  5.8,2.38,10,7.11,310 1015.7,11.4,12.2,999,99,99
2017,1,2,6,50,999  5.6  7.0,2.52,9.09,7.18,308 1015.6,11.1,12.2,999,99,99
2017,1,2,7,50,999  6.0  8.8,2.51,10,7.28,302 1015.5,9.8,12.2,999,99,99
2017,1,2,8,50,999  4.4  6.9,2.59,9.09,7.35,308 1015.9,10.3,12.2,999,99,99
2017,1,2,9,50,999  1.6  2.8,2.48,9.09,7.45,305 1015.9,9.3,12.2,999,99,99
2017,1,2,10,50,999  0.5  2.0,2.52,8.33,7.56,311 1016.0,9.9,12.1,999,99,99
2017,1,2,11,50,999  0.8  2.4,2.53,9.09,7.73,306 1015.9,9.7,12.2,999,99,99
2017,1,2,12,50,999  1.6  3.4,2.78,10.81,8.16,317 1015.5,10,12.2,999,99,99
2017,1,2,13,50,999  1.5  3.1,2.91,9.09,8.13,318 1015.8,9.9,12.2,999,99,99
2017,1,2,14,50,999  2.0  3.9,3,11.43,8.15,311 1015.9,10.3,12.2,999,99,99
2017,1,2,15,50,999  2.4  3.9,2.88,11.43,8.47,315 1016.3,10.3,12.2,999,99,99
2017,1,2,16,50,999  0.8  2.5,3.09,14.81,9.01,306 1016.5,10.3,12.2,999,99,99
2017,1,2,17,50,999  2.9  4.0,3.23,16,9.68,297 1017.1,10.4,12.2,999,99,99
2017,1,2,18,50,999  3.6  5.5,3.02,12.9,9.58,304 1017.4,10.4,12.3,999,99,99
2017,1,2,19,50,999  4.4  5.6,3.16,13.79,9.71,304 1017.1,10.3,12.3,999,99,99
2017,1,2,20,50,999  4.8  5.6,3.55,13.79,10.06,302 1016.9,10.5,12.3,999,99,99
2017,1,2,21,50,999  1.9  3.3,2.79,12.9,9.37,302 1016.9,10.3,12.3,999,99,99
2017,1,2,22,50,999  4.8  5.6,3.21,14.81,9.76,294 1017.0,10.7,12.3,999,99,99
2017,1,2,23,50,999  3.2  4.5,3.32,13.79,9.74,301 1017.0,10.5,12.3,999,99,99
2017,1,3,0,50,999  3.9  4.8,3.45,13.79,9.74,305 1017.0,10.4,12.3,999,99,99
2017,1,3,1,50,999  2.9  4.5,3.53,14.81,9.93,305 1017.3,10,12.3,999,99,99
2017,1,3,2,50,999  5.1  8.0,3.29,13.79,9.99,311 1017.6,10.9,12.3,999,99,99
2017,1,3,3,50,999  5.0  7.9,3.52,13.79,9.94,312 1017.9,11.4,12.2,999,99,99
2017,1,3,4,50,999  4.9  6.3,2.99,14.81,9.56,306 1018.2,11.3,12.2,999,99,99
2017,1,3,5,50,999  5.0  6.3,3.09,14.81,9.46,306 1018.1,11.7,12.2,999,99,99
2017,1,3,6,50,999  6.0  7.8,2.6,13.79,8.24,302 1018.7,11.9,12.2,999,99,99
2017,1,3,7,50,999  6.5 10.3,2.85,12.12,8.39,301 1019.0,11.8,12.2,999,99,99
2017,1,3,8,50,999  8.7 11.2,3.15,12.9,8.98,301 1018.6,11.5,12.2,999,99,99
2017,1,3,9,50,999  3.6  5.3,2.86,12.12,8.52,308 1019.0,11.2,12.2,999,99,99
2017,1,3,10,50,999  8.4 11.4,2.94,12.12,8.81,304 1018.8,11.7,12.2,999,99,99
2017,1,3,11,50,999  6.4 10.6,2.66,10,7.99,301 1018.3,11.8,12.2,999,99,99
2017,1,3,12,50,999  7.0 10.0,2.65,12.12,7.55,308 1017.7,11.5,12.2,999,99,99
2017,1,3,13,50,999 10.3 12.7,2.57,12.12,7.06,305 1017.3,11.5,12.3,999,99,99
2017,1,3,14,50,999 11.7 14.2,2.94,13.79,7.08,302 1016.8,11.4,12.2,999,99,99
2017,1,3,15,50,999 12.1 14.3,2.9,12.9,6.78,312 1016.6,11.3,12.3,999,99,99
2017,1,3,16,50,999 13.0 15.2,2.76,12.9,6.5,309 1016.5,11.5,12.3,999,99,99
2017,1,3,17,50,999 13.9 16.3,2.39,12.9,5.83,304 1016.6,11.7,12.3,999,99,99
2017,1,3,18,50,999 13.5 16.8,2.89,12.9,6.28,300 1016.4,11.3,12.3,999,99,99
2017,1,3,19,50,999 13.3 16.4,3.22,12.9,6.14,296 1015.6,11.7,12.3,999,99,99
2017,1,3,20,50,999 13.5 16.0,2.95,6.25,5.82,167 1014.5,12.1,12.3,999,99,99
2017,1,3,21,50,999 13.3 15.9,2.7,6.67,5.79,172 1013.8,12.4,12.3,999,99,99
2017,1,3,22,50,999 14.1 17.0,2.79,7.14,5.89,167 1013.0,12.6,12.2,999,99,99
2017,1,3,23,50,999 13.4 16.2,2.85,7.14,5.83,170 1013.4,12.7,12.2,999,99,99
2017,1,4,0,50,999 14.1 16.3,3.02,6.67,5.88,168 1012.8,12.5,12.2,999,99,99
2017,1,4,1,50,999 13.3 16.2,2.83,7.14,5.91,173 1012.5,12.6,12.2,999,99,99
2017,1,4,2,50,999 14.1 17.0,2.56,6.67,5.61,171 1012.6,13,12.2,999,99,99
2017,1,4,3,50,999 13.7 16.6,2.86,6.67,5.87,174 1013.0,13,12.2,999,99,99
2017,1,4,4,50,999 12.4 14.8,2.72,7.14,5.66,173 1013.1,12.9,12.2,999,99,99
2017,1,4,5,50,999 13.1 15.8,2.51,7.14,5.47,190 1012.8,13,12.2,999,99,99
2017,1,4,6,50,999 13.0 15.8,2.88,7.14,5.82,186 1012.8,13.2,12.2,999,99,99
2017,1,4,7,50,999 13.1 15.3,2.97,7.69,5.83,180 1012.8,13.3,12.2,999,99,99
2017,1,4,8,50,999 10.7 12.4,3.2,7.69,6.1,185 1012.9,13.3,12.2,999,99,99
2017,1,4,9,50,999  9.4 11.5,2.98,7.69,6.2,193 1013.1,13.4,12.3,999,99,99
2017,1,4,10,50,999  8.6 10.8,2.53,7.69,6.13,193 1013.2,13.3,12.3,999,99,99
2017,1,4,11,50,999  5.0  5.8,2.78,8.33,6.38,212 1013.5,13.3,12.3,999,99,99
2017,1,4,12,50,999  3.7  4.7,2.49,8.33,6.25,213 1013.5,13.3,12.3,999,99,99
2017,1,4,13,50,999  3.0  3.7,2.61,8.33,6.62,219 1013.6,13.3,12.3,999,99,99
2017,1,4,14,50,999  3.0  3.9,2.67,8.33,6.61,212 1013.8,13.3,12.3,999,99,99
2017,1,4,15,50,999  2.2  2.9,2.45,8.33,6.62,202 1014.7,13,12.3,999,99,99
2017,1,4,16,50,999  2.7  3.6,2.29,8.33,6.3,210 1014.3,13.1,12.3,999,99,99
2017,1,4,17,50,999  2.0  2.9,2.52,8.33,6.77,215 1015.2,13.2,12.4,999,99,99
2017,1,4,18,50,999  0.7  1.2,2.31,8.33,6.49,219 1015.7,12.7,12.4,999,99,99
2017,1,4,19,50,999  0.0  0.1,2.33,7.14,6.55,191 1014.5,12.4,12.6,999,99,99
2017,1,4,20,50,999  3.9  4.8,2.12,8.33,6.34,218 1014.3,11.8,12.7,999,99,99
2017,1,4,21,50,999  1.3  2.2,1.81,7.14,6.12,223 1013.8,11.7,12.7,999,99,99
2017,1,4,22,50,999  4.3  5.1,1.98,7.14,6.21,196 1014.0,11.3,12.7,999,99,99
2017,1,4,23,50,999  5.6  7.1,1.78,8.33,6.26,241 1014.2,11.5,12.5,999,99,99
2017,1,5,0,50,999  4.3  5.4,1.71,7.69,6.1,224 1013.4,11.4,12.5,999,99,99
2017,1,5,1,50,999  2.7  3.4,1.84,8.33,6.14,252 1013.2,11.4,12.6,999,99,99
2017,1,5,2,50,999  2.9  3.7,1.76,7.69,6.28,228 1013.6,11.2,12.6,999,99,99
2017,1,5,3,50,999  3.6  5.0,1.63,7.69,6.16,228 1013.9,11.4,12.6,999,99,99
2017,1,5,4,50,999  5.5  6.6,1.74,7.69,6.07,240 1013.8,10,12.6,999,99,99
2017,1,5,5,50,999  7.1  9.5,1.61,7.69,5.53,235 1014.1,10.5,12.6,999,99,99
2017,1,5,6,50,999  7.6  9.6,1.72,7.14,5.65,246 1014.6,10.4,12.6,999,99,99
2017,1,5,7,50,999  9.7 12.2,1.65,7.69,5.43,243 1014.7,10.1,12.6,999,99,99
2017,1,5,8,50,999  7.8 10.1,1.67,7.69,5.45,257 1014.9,9.9,12.6,999,99,99
2017,1,5,9,50,999  7.2  9.0,1.54,7.69,5.25,243 1015.2,10.3,12.6,999,99,99
2017,1,5,10,50,999  5.9  8.1,1.47,7.14,5.3,239 1015.5,10.5,12.6,999,99,99
2017,1,5,11,50,999  8.1 10.2,1.32,7.69,5.27,251 1015.2,10.9,12.6,999,99,99
2017,1,5,12,50,999  8.6 10.9,1.36,7.14,5.23,255 1015.2,10.8,12.5,999,99,99
2017,1,5,13,50,999  9.0 11.5,1.36,8.33,5.26,274 1015.6,10.8,12.5,999,99,99
2017,1,5,14,50,999  9.7 12.2,1.41,7.69,5.34,262 1016.0,10.5,12.5,999,99,99
2017,1,5,15,50,999  9.5 12.1,1.43,7.14,5.09,271 1016.5,10.4,12.4,999,99,99
2017,1,5,16,50,999  9.8 11.9,1.46,9.09,5.15,316 1017.1,10.2,12.3,999,99,99
2017,1,5,17,50,999  8.5 10.6,1.64,5,5.22,335 1017.6,10.2,12.3,999,99,99
2017,1,5,18,50,999  8.6 11.6,1.51,5.56,5.15,328 1018.0,10,12.3,999,99,99
2017,1,5,19,50,999  8.0 12.0,1.5,5.88,5.09,322 1017.5,9.9,12.3,999,99,99
2017,1,5,20,50,999  8.3 11.1,1.55,5.88,5.18,312 1017.1,9.8,12.2,999,99,99
2017,1,5,21,50,999  9.2 11.3,1.56,5.88,5.14,325 1016.8,10,12.2,999,99,99
2017,1,5,22,50,999  9.0 11.4,1.5,5.56,5.15,326 1016.7,10,12.2,999,99,99
2017,1,5,23,50,999  8.8 11.4,1.61,5.56,5.15,323 1017.2,9.9,12.1,999,99,99
2017,1,6,0,50,999  7.8 11.6,1.51,5.88,5.15,329 1017.3,9.9,12.1,999,99,99
2017,1,6,1,50,999  7.0  9.5,1.49,5.26,5.21,335 1017.7,9.8,12,999,99,99
2017,1,6,2,50,999  6.2  8.8,1.4,5.88,5.27,314 1017.7,9.8,12,999,99,99
2017,1,6,3,50,999  4.7  5.6,1.39,5.88,5.31,310 1017.9,9.9,12,999,99,99
2017,1,6,4,50,999  4.7  5.7,1.38,8.33,5.46,278 1017.9,9.9,12,999,99,99
2017,1,6,5,50,999  5.1  6.1,1.32,8.33,5.67,287 1018.4,10,12,999,99,99
2017,1,6,6,50,999  5.4  6.9,1.26,17.39,5.57,244 1018.3,9.9,12,999,99,99
2017,1,6,7,50,999  4.3  5.1,1.15,6.67,5.54,308 1018.8,9.7,12,999,99,99
2017,1,6,8,50,999  2.7  4.0,1.04,6.67,5.47,271 1018.6,9.3,12,999,99,99
2017,1,6,9,50,999  1.6  3.0,1.03,17.39,5.88,210 1018.2,9.2,12,999,99,99
2017,1,6,10,50,999  2.0  4.1,1.02,8.33,5.81,287 1018.2,9.1,12,999,99,99
2017,1,6,11,50,999  4.1  4.9,1.04,17.39,6.21,209 1018.4,8.7,12,999,99,99
2017,1,6,12,50,999  4.6  5.5,1.04,8.33,5.33,285 1018.0,8.4,12,999,99,99
2017,1,6,13,50,999  4.6  5.6,1.09,13.79,5.28,261 1017.8,8.9,12,999,99,99
2017,1,6,14,50,999  5.0  6.1,1.15,13.79,4.93,284 1018.0,8.8,11.9,999,99,99
2017,1,6,15,50,999  5.8  7.3,1.11,12.9,4.91,274 1018.8,8.4,11.9,999,99,99
2017,1,6,16,50,999  5.7  7.1,1.27,12.9,5.17,264 1019.1,8.2,11.9,999,99,99
2017,1,6,17,50,999  8.4 10.6,1.22,17.39,4.98,219 1018.8,8.7,11.9,999,99,99
2017,1,6,18,50,999  8.4 11.0,1.33,12.12,4.92,306 1019.2,8.9,12,999,99,99
2017,1,6,19,50,999  7.3  9.3,1.41,17.39,5,222 1018.2,9.1,12.1,999,99,99
2017,1,6,20,50,999  7.2  9.2,1.38,17.39,4.95,194 1017.5,9.7,12.1,999,99,99
2017,1,6,21,50,999  6.4  8.3,1.18,12.12,4.91,259 1016.4,10.5,12.1,999,99,99
2017,1,6,22,50,999  4.8  5.4,1.15,12.9,5.44,241 1016.2,11.1,12.1,999,99,99
2017,1,6,23,50,999  5.8  7.1,1.25,17.39,6.43,203 1016.6,11.6,12.1,999,99,99
2017,1,7,0,50,999  6.2  7.9,1.11,17.39,5.52,206 1016.4,11.8,12.1,999,99,99
2017,1,7,1,50,999  5.2  5.8,1.03,12.9,5.76,245 1016.1,11.8,12.1,999,99,99
2017,1,7,2,50,999  4.9  5.4,0.95,12.12,5.95,251 1016.6,11.8,12.1,999,99,99
2017,1,7,3,50,999  5.0  5.9,1.04,17.39,6.92,212 1016.5,11.9,12.2,999,99,99
2017,1,7,4,50,999  5.1  6.1,1.04,16,7.05,207 1016.8,12.1,12.2,999,99,99
2017,1,7,5,50,999  7.9 10.2,1.22,12.9,7.07,247 1016.6,12.2,12.3,999,99,99
2017,1,7,6,50,999  8.9 11.3,1.15,16,5.57,212 1016.6,12.2,12.3,999,99,99
2017,1,7,7,50,999 12.5 15.0,1.35,16,5.33,204 1015.4,12.3,12.3,999,99,99
2017,1,7,8,50,999 13.5 16.4,1.66,16,4.94,200 1013.9,12.1,12.3,999,99,99
2017,1,7,9,50,999 13.8 16.7,2.04,5,4.97,166 1013.7,12.3,12.3,999,99,99
2017,1,7,10,50,999 13.9 16.4,2.17,5.88,5.11,164 1012.9,12.2,12.2,999,99,99
2017,1,7,11,50,999 14.5 17.7,2.4,6.25,5.08,154 1011.9,12.2,12.2,999,99,99
2017,1,7,12,50,999 15.8 18.5,2.9,6.25,5.3,158 1011.5,11.6,12.2,999,99,99
2017,1,7,13,50,999 15.4 18.0,3.12,6.67,5.44,158 1011.3,11.5,12.2,999,99,99
2017,1,7,14,50,999 16.4 19.3,3.33,7.14,5.62,160 1011.1,11.8,12.3,999,99,99
2017,1,7,15,50,999 16.1 19.8,3.51,7.69,5.85,165 1012.2,11.9,12.4,999,99,99
2017,1,7,16,50,999 15.8 19.0,3.74,7.69,6,162 1013.1,12.5,12.6,999,99,99
2017,1,7,17,50,999 15.7 18.7,3.53,7.69,5.92,167 1013.8,12.6,12.7,999,99,99
2017,1,7,18,50,999 15.6 19.4,3.64,8.33,6.23,163 1014.8,12.6,12.8,999,99,99
2017,1,7,19,50,999 15.5 19.5,3.53,7.69,6.24,165 1014.2,12.5,12.8,999,99,99
2017,1,7,20,50,999 13.6 17.5,3.96,8.33,6.56,177 1014.3,12.6,12.8,999,99,99
2017,1,7,21,50,999 14.9 17.9,3.55,9.09,6.42,178 1014.1,12.6,12.8,999,99,99
2017,1,7,22,50,999 14.4 18.0,3.57,9.09,6.7,183 1014.5,12.6,12.8,999,99,99
2017,1,7,23,50,999 13.8 16.3,3.67,8.33,6.83,175 1014.9,12.6,12.8,999,99,99
2017,1,8,0,50,999 13.1 15.2,3.36,9.09,6.53,186 1014.9,12.7,12.8,999,99,99
2017,1,8,1,50,999 12.6 15.4,2.82,9.09,6.36,182 1015.2,13,12.8,999,99,99
2017,1,8,2,50,999 12.0 14.3,3.41,9.09,6.55,179 1016.2,12.8,12.8,999,99,99
2017,1,8,3,50,999 14.6 17.5,3.65,10,6.81,186 1016.0,12.8,12.8,999,99,99
2017,1,8,4,50,999 14.5 17.4,3.47,9.09,6.5,180 1016.7,12.7,12.8,999,99,99
2017,1,8,5,50,999 14.6 17.6,3.58,9.09,6.52,195 1015.8,12.7,12.8,999,99,99
2017,1,8,6,50,999 15.1 18.8,3.09,7.69,5.85,169 1015.8,12.9,12.7,999,99,99
2017,1,8,7,50,999 13.9 16.6,3.3,8.33,6.14,179 1016.3,12.8,12.7,999,99,99
2017,1,8,8,50,999 15.3 17.6,2.95,8.33,5.83,180 1014.4,12.5,12.7,999,99,99
2017,1,8,9,50,999 13.8 15.9,2.8,7.69,5.48,187 1014.4,12.8,12.7,999,99,99
2017,1,8,10,50,999 15.8 18.5,2.86,8.33,5.54,197 1013.3,13.1,12.7,999,99,99
2017,1,8,11,50,999 15.2 18.0,3.2,7.69,5.83,168 1012.1,13.2,12.8,999,99,99
2017,1,8,12,50,999 15.7 18.3,3.18,7.69,5.75,172 1011.2,13.5,12.8,999,99,99
2017,1,8,13,50,999 15.4 18.1,3.43,7.69,5.99,170 1012.1,13.6,12.9,999,99,99
2017,1,8,14,50,999 14.6 17.0,3.35,7.69,6.06,165 1012.1,13.7,12.9,999,99,99
2017,1,8,15,50,999 14.4 17.8,3.1,7.14,5.82,172 1012.5,13.5,12.9,999,99,99
2017,1,8,16,50,999 15.8 19.0,3.55,7.14,6.09,166 1013.0,13.2,12.9,999,99,99
2017,1,8,17,50,999 15.8 18.9,3.76,8.33,6.31,170 1013.5,13.4,12.9,999,99,99
2017,1,8,18,50,999 15.7 19.2,3.41,7.69,6.09,170 1014.7,13.1,12.9,999,99,99
2017,1,8,19,50,999 15.1 18.6,3.66,7.69,6.37,167 1012.5,13.2,12.9,999,99,99
2017,1,8,20,50,999 15.7 17.8,3.48,8.33,6.22,169 1011.8,13.5,12.9,999,99,99
2017,1,8,21,50,999 14.1 16.8,3.55,7.69,6.27,166 1011.2,13.2,12.8,999,99,99
2017,1,8,22,50,999 13.4 15.9,3.49,8.33,6.32,176 1011.6,12.9,12.8,999,99,99
2017,1,8,23,50,999 12.2 15.7,3.29,8.33,6.16,168 1011.6,14,12.8,999,99,99
2017,1,9,0,50,999 12.1 14.6,3.15,8.33,6.2,178 1011.6,13.9,12.8,999,99,99
2017,1,9,1,50,999 10.8 13.0,3.27,8.33,6.41,177 1012.1,13.9,12.7,999,99,99
2017,1,9,2,50,999  9.6 12.1,3.22,9.09,6.51,203 1012.9,13.9,12.7,999,99,99
2017,1,9,3,50,999  8.9 10.9,3.32,8.33,6.66,192 1012.9,13.7,12.7,999,99,99
2017,1,9,4,50,999  4.6  6.1,3.13,8.33,6.8,194 1013.8,14,12.6,999,99,99
2017,1,9,5,50,999  6.4  8.2,3.19,9.09,6.75,208 1014.0,13.9,12.6,999,99,99
2017,1,9,6,50,999  6.6  8.8,3.04,10,7.1,207 1014.2,13.9,12.6,999,99,99
2017,1,9,7,50,999  4.7  5.5,2.86,9.09,6.74,209 1014.8,13.8,12.6,999,99,99
2017,1,9,8,50,999  9.2 13.2,2.86,10,7.07,211 1014.9,13.9,12.6,999,99,99
2017,1,9,9,50,999  4.0  4.8,2.5,10,6.83,212 1015.4,13.3,12.7,999,99,99
2017,1,9,10,50,999  3.3  4.2,2.66,10,7.17,215 1016.0,13.4,12.8,999,99,99
2017,1,9,11,50,999  4.2  6.4,2.54,9.09,7.08,210 1016.4,13.9,12.8,999,99,99
2017,1,9,12,50,999  3.2  4.1,2.56,9.09,7.18,210 1016.8,13.1,12.8,999,99,99
2017,1,9,13,50,999  3.8  4.7,2.48,9.09,7.25,217 1016.6,13.1,12.8,999,99,99
2017,1,9,14,50,999  2.7  3.7,2.31,9.09,7.13,213 1016.8,13,12.8,999,99,99
2017,1,9,15,50,999  3.6  4.5,2.32,8.33,7.48,214 1017.4,12.8,12.8,999,99,99
2017,1,9,16,50,999  3.8  4.6,2.12,9.09,7.09,218 1018.4,12.9,12.8,999,99,99
2017,1,9,17,50,999  4.4  5.2,2.18,9.09,7.36,224 1019.2,13.1,12.8,999,99,99
2017,1,9,18,50,999  3.9  4.8,2.2,9.09,6.95,215 1020.2,13.1,12.8,999,99,99
2017,1,9,19,50,999  4.2  4.9,2.34,12.12,7.14,310 1018.8,13.2,12.8,999,99,99
2017,1,9,20,50,999  5.1  6.2,2.17,9.09,6.94,226 1018.4,13.1,12.9,999,99,99
2017,1,9,21,50,999  5.1  6.3,2.28,8.33,6.93,214 1018.6,13.1,12.9,999,99,99
2017,1,9,22,50,999  5.9  7.7,2.13,9.09,6.75,220 1018.3,13.3,12.8,999,99,99
2017,1,9,23,50,999  4.7  6.2,2.1,9.09,6.67,225 1018.5,13.2,12.8,999,99,99
2017,1,10,0,50,999  5.9  7.9,2.24,8.33,6.76,224 1018.4,13.2,12.8,999,99,99
2017,1,10,1,50,999  6.4  8.0,2.17,9.09,6.64,237 1018.2,13.2,12.8,999,99,99
2017,1,10,2,50,999  8.1 11.5,2.28,9.09,6.93,231 1018.4,12.9,12.8,999,99,99
2017,1,10,3,50,999  4.8  6.2,2.16,9.09,6.9,227 1018.4,12.8,12.9,999,99,99
2017,1,10,4,50,999  5.5  6.9,2.07,10.81,7.22,273 1018.4,13,12.9,999,99,99
2017,1,10,5,50,999  7.0  9.4,2.24,9.09,7.4,244 1018.2,13.2,12.9,999,99,99
2017,1,10,6,50,999  6.7  8.5,2.38,9.09,7.14,246 1018.2,13.4,12.9,999,99,99
2017,1,10,7,50,999  6.5  8.7,2.43,8.33,7.11,241 1018.3,13.4,12.9,999,99,99
2017,1,10,8,50,999  6.3  8.4,2.45,9.09,6.96,236 1017.8,13.6,12.9,999,99,99
2017,1,10,9,50,999  5.4  6.6,2.49,9.09,6.85,249 1017.4,13.5,12.9,999,99,99
2017,1,10,10,50,999  7.8 10.2,2.58,9.09,7.17,250 1017.1,13.3,12.9,999,99,99
2017,1,10,11,50,999 10.7 13.0,2.64,9.09,7.13,246 1016.1,13.4,12.9,999,99,99
2017,1,10,12,50,999  8.9 11.2,2.6,10,6.7,264 1015.5,13.4,12.9,999,99,99
2017,1,10,13,50,999  8.6 11.0,2.63,10,6.66,254 1015.1,13.5,12.9,999,99,99
2017,1,10,14,50,999  7.9  9.7,2.26,10,6.28,264 1015.3,13.5,12.9,999,99,99
2017,1,10,15,50,999  8.6 10.5,2.68,10,6.9,266 1014.9,13.5,12.9,999,99,99
2017,1,10,16,50,999  8.7 11.2,2.57,10,6.75,258 1015.0,13.6,12.8,999,99,99
2017,1,10,17,50,999  9.2 11.2,2.56,10,6.65,264 1015.5,13.7,12.8,999,99,99
2017,1,10,18,50,999  9.8 12.6,2.33,10.81,6.37,271 1015.1,13.7,12.7,999,99,99
2017,1,10,19,50,999  9.9 11.8,2.57,10.81,6.65,267 1014.5,13.8,12.7,999,99,99
2017,1,10,20,50,999 11.1 13.4,2.74,10,6.56,267 1013.0,13.7,12.7,999,99,99
2017,1,10,21,50,999 11.4 13.2,2.74,11.43,6.6,267 1011.9,13.6,12.7,999,99,99
2017,1,10,22,50,999 11.5 14.1,2.7,10.81,6.33,272 1011.1,13.8,12.7,999,99,99
2017,1,10,23,50,999 11.1 13.1,3.22,13.79,7.16,280 1010.6,13.7,12.7,999,99,99
2017,1,11,0,50,999 12.0 14.5,3.56,12.9,7.86,277 1009.0,14,12.7,999,99,99
2017,1,11,1,50,999 11.3 13.5,3.26,13.79,7.32,273 1008.6,14,12.7,999,99,99
2017,1,11,2,50,999 12.9 15.2,3.45,11.43,7.33,269 1007.6,14.2,12.8,999,99,99
2017,1,11,3,50,999 13.9 16.1,3.7,12.12,7.38,272 1006.9,14.1,12.8,999,99,99
2017,1,11,4,50,999  6.4  8.6,4.04,12.9,7.67,274 1008.7,12.8,12.8,999,99,99
2017,1,11,5,50,999  5.4  6.8,3.69,12.12,7.66,275 1009.3,13.2,12.8,999,99,99
2017,1,11,6,50,999  5.8  7.3,4.11,12.9,8.23,278 1009.6,13.7,12.8,999,99,99
2017,1,11,7,50,999 11.9 14.2,4.16,11.43,8.04,280 1009.4,13.8,12.8,999,99,99
2017,1,11,8,50,999  7.5 11.1,3.57,11.43,7.73,279 1009.9,14,12.8,999,99,99
2017,1,11,9,50,999  5.5  7.7,3.59,12.12,7.82,279 1010.4,13.7,12.7,999,99,99
2017,1,11,10,50,999  8.1 11.7,3.63,11.43,7.6,282 1011.2,13.6,12.7,999,99,99
2017,1,11,11,50,999  5.6  8.1,3.59,12.12,7.78,291 1011.7,13.4,12.7,999,99,99
2017,1,11,12,50,999  4.5  5.5,3.15,12.12,7.62,292 1011.0,13.2,12.6,999,99,99
2017,1,11,13,50,999  8.2 12.2,3.6,12.12,8.06,287 1011.0,13.2,12.6,999,99,99
2017,1,11,14,50,999  8.5 12.3,3.21,11.43,7.55,276 1012.0,12.9,12.6,999,99,99
2017,1,11,15,50,999  5.4  9.2,3.49,11.43,7.36,279 1012.6,11.6,12.5,999,99,99
2017,1,11,16,50,999  5.0  6.6,3.48,10.81,7.7,277 1013.3,12.1,12.5,999,99,99
2017,1,11,17,50,999  3.6  5.1,3.36,12.12,7.67,277 1014.2,12,12.4,999,99,99
